id,alter,alterkat,geschlecht,bildschirmzeit,screenkat,messenger,game
8,32,4,Maennlich,1h-2h,2,Whatsapp und sichere Alternativen,Call of Duty
18,20,3,Weiblich,1h-2h,2,Whatsapp und sichere Alternativen,Fifa
26,17,2,Weiblich,1h-2h,2,Nur Whatsapp,League of Legends
35,17,2,Weiblich,1h-2h,2,Whatsapp und sichere Alternativen,Clash of Clans
40,15,2,Maennlich,1h-2h,2,Nur Whatsapp,Clash of Clans
55,17,2,Maennlich,1h-2h,2,Nur Whatsapp,League of Legends
60,16,2,Maennlich,1h-2h,2,Whatsapp und sichere Alternativen,Clash of Clans
4,30,4,Maennlich,2h-3h,3,Whatsapp und sichere Alternativen,Call of Duty
9,16,2,Weiblich,2h-3h,3,Nur Whatsapp,Call of Duty
12,18,2,Maennlich,2h-3h,3,Whatsapp und sichere Alternativen,Fifa
19,16,2,Weiblich,2h-3h,3,Nur Whatsapp,Clash of Clans
21,16,2,Maennlich,2h-3h,3,Nur Whatsapp,Clash of Clans
23,16,2,Weiblich,2h-3h,3,Nur Whatsapp,Fifa
28,18,2,Maennlich,2h-3h,3,Nur Whatsapp,Fifa
29,16,2,Maennlich,2h-3h,3,Nur Whatsapp,Clash of Clans
30,17,2,Weiblich,2h-3h,3,Nur Whatsapp,Fifa
31,18,2,Maennlich,2h-3h,3,Nur Whatsapp,Fifa
37,17,2,Maennlich,2h-3h,3,Nur Whatsapp,League of Legends
41,16,2,Weiblich,2h-3h,3,Nur Whatsapp,Clash of Clans
45,16,2,Maennlich,2h-3h,3,Nur Whatsapp,Fifa
52,22,3,Maennlich,2h-3h,3,Kein Whatsapp,Call of Duty
54,16,2,Weiblich,2h-3h,3,Nur Whatsapp,League of Legends
57,17,2,Maennlich,2h-3h,3,Whatsapp und sichere Alternativen,Fifa
10,16,2,Maennlich,3h-4h,4,Nur Whatsapp,Clash of Clans
14,18,2,Maennlich,3h-4h,4,Nur Whatsapp,Call of Duty
16,21,3,Maennlich,3h-4h,4,Nur Whatsapp,Clash of Clans
24,18,2,Weiblich,3h-4h,4,Kein Whatsapp,League of Legends
25,20,3,Weiblich,3h-4h,4,Nur Whatsapp,League of Legends
33,16,2,Weiblich,3h-4h,4,Nur Whatsapp,Fifa
36,16,2,Weiblich,3h-4h,4,Nur Whatsapp,League of Legends
39,16,2,Maennlich,3h-4h,4,Nur Whatsapp,Call of Duty
42,17,2,Maennlich,3h-4h,4,Nur Whatsapp,Clash of Clans
43,19,2,Maennlich,3h-4h,4,Nur Whatsapp,Clash of Clans
44,16,2,Weiblich,3h-4h,4,Nur Whatsapp,Clash of Clans
58,51,4,Weiblich,3h-4h,4,Whatsapp und sichere Alternativen,Fifa
5,15,2,Maennlich,4h-5h,5,Nur Whatsapp,League of Legends
6,14,1,Maennlich,4h-5h,5,Nur Whatsapp,Clash of Clans
7,15,2,Maennlich,4h-5h,5,Whatsapp und sichere Alternativen,Call of Duty
11,16,2,Maennlich,4h-5h,5,Whatsapp und sichere Alternativen,Clash of Clans
15,16,2,Weiblich,4h-5h,5,Nur Whatsapp,Fifa
22,19,2,Weiblich,4h-5h,5,Whatsapp und sichere Alternativen,Clash of Clans
38,16,2,Maennlich,4h-5h,5,Nur Whatsapp,League of Legends
48,17,2,Maennlich,4h-5h,5,Nur Whatsapp,Fifa
49,15,2,Maennlich,4h-5h,5,Nur Whatsapp,League of Legends
13,18,2,Maennlich,Mehr als 5h,6,Kein Whatsapp,Clash of Clans
17,17,2,Maennlich,Mehr als 5h,6,Nur Whatsapp,League of Legends
20,17,2,Maennlich,Mehr als 5h,6,Whatsapp und sichere Alternativen,League of Legends
32,16,2,Maennlich,Mehr als 5h,6,Nur Whatsapp,Call of Duty
34,17,2,Weiblich,Mehr als 5h,6,Nur Whatsapp,Fifa
46,16,2,Weiblich,Mehr als 5h,6,Nur Whatsapp,Call of Duty
47,17,2,Weiblich,Mehr als 5h,6,Nur Whatsapp,Clash of Clans
50,16,2,Weiblich,Mehr als 5h,6,Nur Whatsapp,Fifa
51,16,2,Non-Binaer,Mehr als 5h,6,Kein Whatsapp,Fifa
53,14,1,Weiblich,Mehr als 5h,6,Whatsapp und sichere Alternativen,Fifa
56,18,2,Maennlich,Mehr als 5h,6,Nur Whatsapp,Fifa
27,42,4,Maennlich,weniger als 1h,1,Whatsapp und sichere Alternativen,Call of Duty
59,55,4,Maennlich,weniger als 1h,1,Whatsapp und sichere Alternativen,Call of Duty
